Timestamp,LeftHip_pitch,LeftHip_roll,LeftHip_yaw,LeftKnee_flexion,LeftAnkle_pitch,LeftAnkle_roll,RightHip_pitch,RightHip_roll,RightHip_yaw,RightKnee_flexion,RightAnkle_pitch,RightAnkle_roll,LeftShoulder_pitch,LeftShoulder_roll,LeftShoulder_yaw,LeftElbow_flexion,RightShoulder_pitch,RightShoulder_roll,RightShoulder_yaw,RightElbow_flexion,LeftWrist_pronation,RightWrist_pronation,Waist_yaw
0,4.216679,-3.465236,-2.060516,6.305837,-5.030222,-4.390464,19.71169,2.349408,10.88034,22.53444,-0.4201138,0.422787,0.5804718,18.70211,-39.08104,17.91023,20.19704,1.114345,-37.34121,26.95401,0,0,-5.22201
33.33333333,11.23573,-3.40595,-1.984949,23.68138,5.496793,-3.965914,23.74172,2.773211,9.896086,33.81358,6.417379,0.6478994,-0.9153573,17.8273,-39.23962,17.5389,19.36422,1.353063,-36.86699,25.75895,0,0,-6.14395
66.66666667,6.82892,-2.963111,-3.167123,17.14058,3.580859,-3.558365,21.18821,2.030916,9.115787,31.08458,5.938547,0.8531045,-2.124122,16.81703,-38.85139,17.20596,18.46754,1.58041,-36.05111,24.53251,0,0,-7.240067
100,3.732188,-2.626997,-4.073138,12.42435,2.267104,-3.348704,19.86379,1.785372,9.24212,30.03609,5.969593,0.9358863,-2.759673,16.02865,-38.13272,16.99154,17.81256,1.769567,-35.37035,23.66381,0,0,-8.162532
133.3333333,2.563077,-2.514103,-4.201045,10.35699,1.731218,-3.294849,19.63646,1.942853,10.09627,29.97596,6.097476,0.8750131,-2.898473,15.68151,-37.66332,16.84853,17.513,1.992036,-35.50237,23.27913,0,0,-8.665812
166.6666667,3.098952,-2.664675,-4.208311,10.5118,1.683188,-3.367836,20.07543,2.279315,10.965,30.0277,6.040788,0.7454271,-2.645453,15.73013,-37.68236,16.70036,17.46193,2.340925,-36.77101,23.2874,0,-0.01978234,-8.69216
200,4.77278,-3.029985,-4.125545,11.98594,1.796567,-3.508987,20.91212,2.750384,11.85041,29.89375,5.818407,0.5913732,-2.022456,15.98343,-37.91932,16.53162,17.48706,2.831928,-38.90548,23.54735,0,0,-8.27487
233.3333333,6.747152,-3.485297,-3.924159,13.64327,1.826706,-3.639912,21.88329,3.21808,12.47316,29.56409,5.569437,0.481415,-1.211762,16.30489,-38.08987,16.3829,17.48322,3.352111,-41.1722,23.86899,0,0,-7.511432
266.6666667,8.152445,-3.85519,-3.58976,14.44448,1.635901,-3.694836,22.65719,3.486165,12.4672,29.05059,5.369618,0.4567223,-0.6110179,16.68234,-38.25627,16.30019,17.41916,3.745961,-42.88327,24.02811,0,0,-6.59967
300,8.620357,-4.059007,-3.17083,13.95051,1.177859,-3.670285,23.04561,3.493921,11.83335,28.29297,5.204733,0.5059516,-0.4973219,17.2019,-38.73965,16.28388,17.3255,3.973058,-43.88749,23.93336,0,0,-5.7284
333.3333333,8.504152,-4.159582,-2.720453,12.49727,0.4722982,-3.621268,23.15061,3.354073,10.93965,27.18276,5.045506,0.5822604,-0.8432553,18.03977,-39.84164,16.32848,17.34291,4.097825,-44.46276,23.71501,0,0,-4.95206
366.6666667,8.581445,-4.277773,-2.284391,11.07092,-0.3134116,-3.626859,23.22043,3.217804,10.11855,25.69112,4.832457,0.6285746,-1.517235,19.33292,-41.54058,16.46601,17.60088,4.20738,-44.95244,23.59114,0,0,-4.24833
400,9.355594,-4.473427,-1.93563,10.60697,-0.8762568,-3.718966,23.35473,3.14821,9.435819,23.94249,4.518134,0.6145992,-2.408103,20.96161,-43.43637,16.69515,18.02348,4.399616,-45.64603,23.70435,0,0,-3.5983
433.3333333,10.75987,-4.745549,-1.715434,11.33967,-1.010269,-3.86219,23.59084,3.165465,8.821338,22.34222,4.15558,0.5589482,-3.265907,22.49726,-45.00158,16.95829,18.42191,4.72298,-46.61469,24.08227,0,0,-3.00498
466.6666667,12.19144,-5.043935,-1.609246,12.5042,-0.8775957,-3.979943,23.96451,3.269497,8.282449,21.36831,3.863966,0.5010511,-3.732818,23.47206,-45.8825,17.21632,18.71383,5.095161,-47.52694,24.64302,0,0,-2.49477
500,13.1206,-5.279521,-1.552552,13.31524,-0.6778198,-4.02235,24.41085,3.410066,7.954409,21.15381,3.703009,0.4854624,-3.739736,23.79573,-46.08231,17.48442,18.9208,5.373704,-47.97508,25.25895,0,0,-2.05981
533.3333333,13.41245,-5.344505,-1.422716,13.63216,-0.4116447,-3.991594,24.72181,3.504038,8.161544,21.43013,3.668905,0.5108508,-3.587687,23.76406,-45.85928,17.81423,19.02691,5.510609,-47.91206,25.90026,0,0,-1.61945
566.6666667,13.60187,-5.211341,-1.007942,14.37965,0.2055842,-3.94608,24.97281,3.608804,9.526874,22.23756,3.76109,0.5005869,-3.640886,23.69732,-45.54507,18.25066,18.99038,5.549131,-47.55548,26.64896,0,0,-1.06825
600,14.52637,-4.922912,-0.1631294,16.92844,1.577684,-3.952238,25.62663,4.009581,12.86528,24.26509,4.008634,0.3228206,-4.104652,23.7467,-45.45089,18.78619,18.8468,5.517006,-47.07426,27.5761,0,0,-0.34162
633.3333333,16.70302,-4.524133,0.9323022,22.03514,3.873229,-4.070096,27.18372,5.267181,18.76622,28.49071,4.42545,-0.1097176,-4.917172,23.87747,-45.63105,19.35827,18.64175,5.434911,-46.53405,28.65575,0,0,0.51433
666.6666667,19.4779,-4.039135,1.677014,28.37572,6.471085,-4.296758,29.49754,7.123282,23.77771,34.62177,4.596019,-0.5246494,-5.906476,23.96154,-45.84539,19.87819,18.25592,5.401274,-46.01025,29.72784,0,0,1.30388
700,20.80884,-3.565401,1.407921,31.83496,7.443156,-4.554413,31.15269,8.419542,26.46552,39.27539,2.708338,-0.7628172,-7.130501,23.98997,-45.96873,20.2578,17.49474,5.52946,-45.52563,30.57978,0,0,1.82901
733.3333333,20.98983,-3.089545,0.3000144,33.16344,7.416271,-4.808985,32.31119,9.068975,27.62257,42.71162,-0.9387863,-0.8533949,-8.798281,24.09165,-46.18736,20.42176,16.46907,5.723855,-44.83148,31.14496,0,0,2.17544
766.6666667,20.76787,-2.522244,-0.7566639,33.83747,7.297508,-5.09512,34.72485,10.51051,27.82528,49.25731,-3.298653,-0.6869504,-10.81672,24.281,-46.63837,20.3291,15.64966,5.688443,-43.54698,31.53265,0,0,2.74284
800,20.24677,-1.791315,-0.7996635,33.83738,7.155494,-5.457617,38.47342,12.91934,27.31439,59.2598,-2.551749,-0.4856607,-12.67057,24.35713,-47.07934,20.02145,15.31753,5.324579,-41.70699,31.84336,0,0,3.83344
833.3333333,20.16993,-0.6252162,0.513962,34.01068,7.192493,-5.599837,41.20692,15.4907,26.36798,67.76603,0,-7.67E-06,-13.7324,24.08632,-47.03771,19.62118,15.29655,4.871139,-39.88338,32.04419,0,0,5.27398
866.6666667,21.3024,0.9995893,2.791339,35.32277,7.500539,-5.364426,39.79142,15.92589,26.63288,66.65795,0,2.46E-06,-13.55793,23.43612,-46.21516,19.27749,15.46852,4.486375,-38.47813,32.05984,0,0,6.58561
900,23.33614,2.610731,5.383249,37.43247,7.894487,-5.080959,37.40975,16.30886,27.23199,62.95086,0,2.82E-06,-12.10633,22.69297,-44.85664,19.11323,16.14378,3.994785,-37.20492,31.91636,0,0,7.429907
933.3333333,25.93229,4.058321,7.638795,39.90843,8.282757,-4.770376,35.31168,17.10218,27.71776,58.64581,0,-3.09E-06,-9.85343,22.26323,-43.71036,19.17881,17.65083,3.186105,-35.59724,31.69858,0,0,7.773001
966.6666667,28.22185,5.226846,9.192699,41.6992,8.596879,-4.455467,33.39153,18.14162,27.82386,53.83255,0,3.90E-06,-7.527594,22.2607,-43.28592,19.46804,19.72884,2.138539,-33.63821,31.45231,0,0,7.799414
